split,focal,fold,model,Acc,Prec,Rec,F1
PAD-UFES,False,0,vit_base,0.7182539682539683,0.7405125276854928,0.5870904664457375,0.6313873424161903
PAD-UFES,False,1,vit_base,0.7341269841269841,0.7343104036142011,0.5798396990475608,0.6226568256465975
PAD-UFES,False,2,vit_base,0.6904761904761905,0.6404119419179661,0.5720474259708923,0.5925428493075552
PAD-UFES,True,0,vit_base,0.7222222222222222,0.6705214293282475,0.589090346818161,0.6114942528735632
PAD-UFES,True,1,vit_base,0.7103174603174603,0.7300303454715219,0.5767995041818746,0.6189060790748555
PAD-UFES,True,2,vit_base,0.7301587301587301,0.7130603985056041,0.600698485056734,0.6338904943356998
PAD-UFES-FULL,False,0,vit_base,0.708994708994709,0.6551885987369858,0.5644858228191562,0.5889757904013031
PAD-UFES-FULL,False,1,vit_base,0.7248677248677249,0.6684039660546848,0.6293057251390585,0.6437906040398668
PAD-UFES-FULL,False,2,vit_base,0.7248677248677249,0.7344346007136705,0.6158068783068783,0.6524198139136146
PAD-UFES-FULL,True,0,vit_base,0.7195767195767195,0.6651932221552475,0.5814535002035002,0.5972313145411684
PAD-UFES-FULL,True,1,vit_base,0.6825396825396826,0.6949848367531294,0.5505172296838964,0.5742011278195489
PAD-UFES-FULL,True,2,vit_base,0.746031746031746,0.7925459072517897,0.5882368403201736,0.6218639120479611
PAD-UFES-IS,False,0,vit_base,0.6666666666666666,0.6687666135034557,0.48618881763231614,0.5216994791994792
PAD-UFES-IS,False,1,vit_base,0.6402116402116402,0.5252569246471686,0.5048098186643079,0.5134351802073321
PAD-UFES-IS,False,2,vit_base,0.6137566137566137,0.5488630764946555,0.45734096270086977,0.47496909243897195
PAD-UFES-IS,True,0,vit_base,0.6455026455026455,0.5382181149104247,0.46765627303553,0.4850488099029173
PAD-UFES-IS,True,1,vit_base,0.6137566137566137,0.4496717237189107,0.4392239790653103,0.4425941369548572
PAD-UFES-IS,True,2,vit_base,0.6243386243386243,0.5601851851851851,0.5127063983488133,0.5291766708410703
